2,61
3,5
4,0
1,5
2,6
7,3
8,4
9,5
6,10
7,11
12,8
9,13
14,10
11,15
12,16
17,13
14,73
15,13
73,19
74,18
75,88
63,62
76,89
77,90
26,65
78,91
24,28
79,29
30,26
80,27
28,26
81,29
82,95
83,96
36,68
84,97
34,69
85,39
40,70
86,37
42,38
87,39
40,72
87,44
43,46
47,44
48,44
45,49
50,46
51,47
48,52
49,53
54,50
51,55
56,52
57,53
54,58
55,56
56,59
60,58
61,59
60,0
74,63
75,62
76,65
77,66
78,65
82,68
83,67
84,68
85,71
86,72
87,71
18,74
19,62
20,63
22,64
23,65
25,66
92,27
93,29
94,31
32,67
68,33
69,35
37,70
39,71
41,72
89,20
88,22
23,91
25,90
79,93
80,92
81,95
32,96
33,95
98,35
97,37
